"model","beta","se","p","f","f_p"
"3hr_Diet.Patterns_Supertaster",0.183484999820923,0.106319938114348,0.0857534940081383,NA,NA
"4hr_Base_Nontaster",NA,NA,NA,0.645138247651256,0.525579519375006
"4hr_Base_Taster",0.0415540438732531,0.0751177645002256,0.580698223315502,NA,NA
"4hr_Base_Supertaster",0.130302633097496,0.100670803278593,0.196903654128348,NA,NA
"4hr_Lifestyle_Nontaster",NA,NA,NA,0.650514770950285,0.522820317751287
"4hr_Lifestyle_Taster",0.058825007885682,0.0764427853589478,0.442439415309835,NA,NA
"4hr_Lifestyle_Supertaster",0.112179481636092,0.101950032148319,0.27243868063978,NA,NA
"4hr_Carb.Quality_Nontaster",NA,NA,NA,0.650244957829285,0.522965485476361
"4hr_Carb.Quality_Taster",0.0558985151416498,0.0765199967693535,0.465893551805728,NA,NA
"4hr_Carb.Quality_Supertaster",0.114336160773573,0.101996172657662,0.263574584970827,NA,NA
"4hr_Diet.Patterns_Nontaster",NA,NA,NA,0.665913288261627,0.514911886452861
"4hr_Diet.Patterns_Taster",0.0530521585304807,0.0761762020863541,0.486942182634399,NA,NA
"4hr_Diet.Patterns_Supertaster",0.125537050986151,0.102105448879677,0.220299516149069,NA,NA
"5hr_Base_Nontaster",NA,NA,NA,0.553531556092235,0.576341236651558
"5hr_Base_Taster",-0.0691696464217322,0.0941284287925431,0.463833652518129,NA,NA
"5hr_Base_Supertaster",-0.110620003236683,0.125971497039564,0.381582483575739,NA,NA
"5hr_Lifestyle_Nontaster",NA,NA,NA,0.528382082308403,0.590994777526192
"5hr_Lifestyle_Taster",-0.0536140886088338,0.0979572142686495,0.58522778536492,NA,NA
"5hr_Lifestyle_Supertaster",-0.0851571028151823,0.131238087150571,0.517724277984408,NA,NA
"5hr_Carb.Quality_Nontaster",NA,NA,NA,0.523761965815104,0.593718963816119
"5hr_Carb.Quality_Taster",-0.0535886893888724,0.0983893328526556,0.58706096152515,NA,NA
"5hr_Carb.Quality_Supertaster",-0.0863598647475142,0.133521453586246,0.51908179468934,NA,NA
"5hr_Diet.Patterns_Nontaster",NA,NA,NA,0.511348172922932,0.601131079177377
"5hr_Diet.Patterns_Taster",-0.0433375415004596,0.100129983656202,0.666013843151578,NA,NA
"5hr_Diet.Patterns_Supertaster",-0.0836185257264746,0.13642617407136,0.54121683910699,NA,NA
"6+hr_Base_Nontaster",NA,NA,NA,0.0269284145172474,0.973438272677697
"6+hr_Base_Taster",-0.0472874570717392,0.0834013507836698,0.572046582780988,NA,NA
"6+hr_Base_Supertaster",0.00448013720212738,0.137756562911657,0.974123187869884,NA,NA
"6+hr_Lifestyle_Nontaster",NA,NA,NA,0.0269333316939874,0.9734342491265
"6+hr_Lifestyle_Taster",-0.0549723515570935,0.0865160887040896,0.526835108060416,NA,NA
"6+hr_Lifestyle_Supertaster",0.0488276613182177,0.140120371631477,0.728329541577388,NA,NA
"6+hr_Carb.Quality_Nontaster",NA,NA,NA,0.0266946264298053,0.973666590221434
"6+hr_Carb.Quality_Taster",-0.0556696734485696,0.0869142641597853,0.52354246231823,NA,NA
"6+hr_Carb.Quality_Supertaster",0.0487362115703387,0.140745590324917,0.729984297158196,NA,NA
"6+hr_Diet.Patterns_Nontaster",NA,NA,NA,0.0271847115548089,0.973190342010742
"6+hr_Diet.Patterns_Taster",-0.0106340289894496,0.0898518745317782,0.906082822364143,NA,NA
"6+hr_Diet.Patterns_Supertaster",0.117958898448658,0.144266892293699,0.415959399039213,NA,NA
